task_id,level,oracle_mode,xgb_config_id,delta_prauc_median,delta_prauc_p10,delta_prauc_p90,delta_prauc_std,delta_prauc_iqr,prauc_raw_median,prauc_oracle_median,ratio_scale_invariance_raw_median,ratio_scale_invariance_oracle_median,product_comp_invariance_raw_median,product_comp_invariance_oracle_median,iso_var_ratio_raw_median,iso_var_ratio_oracle_median,iso_var_product_raw_median,iso_var_product_oracle_median,dominance_train_mean_median,dominance_train_p90_median,dominance_test_mean_median,dominance_test_p90_median,n_runs,delta_prauc_pos_rate_frac_pos,delta_prauc_pos_rate_ci_lo,delta_prauc_pos_rate_ci_hi,delta_prauc_pos_rate_n_eff
l5_ratio_x_product,5,oracle_s_only,depth7_high_capacity,0.06275189393031866,0.017549968137278736,0.4198317321795143,0.13958390800580417,0.016643367197531622,0.37810225732896346,0.4731373164703788,0.011373305082321167,0.0029885287215467545,0.0056330257054883984,0.00159284202568233,0.0006227604717380863,3.050561587068329e-05,0.0001379228663271513,1.140789279324339e-05,,,,,18,1.0,0.8241207763533425,1.0,18.0
l6_nonmonotone_product,6,oracle_coords_only,baseline,0.0034544020952387497,-0.0034549389394143235,0.018280477243830594,0.009412958977187292,0.007524440781665377,0.06126013499686952,0.06328352482225039,,,0.003098040063958615,0.0003724925830960274,,,1.3504291966697507e-05,2.42476010464868e-06,,,,,18,0.7777777777777778,0.5478541568378739,0.9099907189139831,18.0
l6_nonmonotone_product,6,oracle_coords_only,depth4_light,0.0026146179955409583,-0.000521586157302993,0.018576260317164993,0.008004265103910427,0.006655684343083109,0.05914928396166792,0.06639948872891246,,,0.0049562879914417865,0.0006578969791531563,,,4.3348806306433776e-05,1.527586165387056e-06,,,,,18,0.7777777777777778,0.5478541568378739,0.9099907189139831,18.0
l6_nonmonotone_product,6,oracle_coords_only,depth7_high_capacity,0.0032265469163649182,-0.000664781565682532,0.012713247990503121,0.005495302672536913,0.006820759706972891,0.056554254136602575,0.064620864459624,,,0.0016122092753648757,0.001149115277826786,,,7.820042917656079e-06,4.6615608965085815e-06,,,,,18,0.8888888888888888,0.672002348698212,0.9689804773543876,18.0
l6_nonmonotone_product,6,oracle_s_only,baseline,0.004596049554398525,-0.0016543879103335158,0.015296535813619776,0.007119670202656217,0.009569186013930153,0.06126013499686952,0.06702518400850474,,,0.003098040063958615,0.0005847655728459358,,,1.3504291966697507e-05,3.2602385031910772e-06,,,,,18,0.7777777777777778,0.5478541568378739,0.9099907189139831,18.0
l6_nonmonotone_product,6,oracle_s_only,depth4_light,0.001816522798774433,-0.0011313153263532833,0.020286386134548754,0.00803174979888805,0.006455500197261214,0.05914928396166792,0.06894394569223372,,,0.0049562879914417865,0.0004740709766745567,,,4.3348806306433776e-05,7.48727434832091e-07,,,,,18,0.7777777777777778,0.5478541568378739,0.9099907189139831,18.0
l6_nonmonotone_product,6,oracle_s_only,depth7_high_capacity,0.005461504415007635,-0.0011393599259896289,0.015343889788272051,0.006169639116351696,0.008248726038801038,0.056554254136602575,0.06623987983053548,,,0.0016122092753648757,0.0005286962360143662,,,7.820042917656079e-06,2.3125889489883543e-06,,,,,18,0.7777777777777778,0.5478541568378739,0.9099907189139831,18.0
l6_nonmonotone_ratio,6,oracle_coords_only,baseline,0.007240202525823806,0.003033688833825892,0.023968494766649497,0.009194106506468019,0.01326128329792601,0.052119759891965635,0.059589501624144635,0.00020981452614068983,8.181285755708813e-05,,,3.9292755537675415e-07,3.0222690219522994e-07,,,,,,,18,1.0,0.8241207763533425,1.0,18.0
l6_nonmonotone_ratio,6,oracle_coords_only,depth4_light,0.014256694781736322,-0.00011807347235920341,0.02368952964696256,0.011211477072540022,0.01415303006065182,0.05100101092181477,0.06354536018075001,4.282919429242611e-05,2.511770576238632e-05,,,1.487892276711089e-07,9.845122901295465e-08,,,,,,,18,0.8888888888888888,0.672002348698212,0.9689804773543876,18.0
l6_nonmonotone_ratio,6,oracle_coords_only,depth7_high_capacity,0.010117197455830937,0.001906246479251465,0.021049993292915153,0.009035888276841477,0.00739541092447837,0.0513297753784281,0.059720371586672545,4.438655972480774e-05,0.00017130436711013317,,,1.8576449917600657e-07,1.8995544980801252e-07,,,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l6_nonmonotone_ratio,6,oracle_s_only,baseline,0.011841843180434252,0.0025452505557075136,0.023528509623532336,0.008784881541618533,0.01708382439888531,0.052119759891965635,0.06442647444731397,0.00020981452614068983,1.0293950140476226e-05,,,3.9292755537675415e-07,1.0603271214596254e-07,,,,,,,18,1.0,0.8241207763533425,1.0,18.0
l6_nonmonotone_ratio,6,oracle_s_only,depth4_light,0.016887345994546395,-9.998499150199727e-05,0.02330353158762859,0.01298670510115772,0.011800021289153471,0.05100101092181477,0.06778119126285179,4.282919429242611e-05,1.3833877444267273e-05,,,1.487892276711089e-07,1.1671616208568382e-08,,,,,,,18,0.8888888888888888,0.672002348698212,0.9689804773543876,18.0
l6_nonmonotone_ratio,6,oracle_s_only,depth7_high_capacity,0.01499019593926804,0.0058980172925887295,0.02461216917006208,0.008547078981558553,0.008047526638170627,0.0513297753784281,0.06632633730192312,4.438655972480774e-05,8.092453479766846e-05,,,1.8576449917600657e-07,3.9697967265491574e-07,,,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l7_gated_ratio_vs_product,7,oracle_coords_only,baseline,0.007698412513416963,-0.005826295868654368,0.024246474356054367,0.012395652189468602,0.01777640433690903,0.33342136545200185,0.3323059602775711,0.028697485074959696,0.03317675281856209,0.01873145567327738,0.01482593773305416,0.003211481799953987,0.0033412099205223336,0.0011097300584274985,0.0006827125239213379,,,,,18,0.7777777777777778,0.5478541568378739,0.9099907189139831,18.0
l7_gated_ratio_vs_product,7,oracle_coords_only,depth4_light,0.009797189589302563,-0.005530390861677737,0.028793515185213482,0.013095240544178618,0.01771841632645388,0.3437609657678846,0.3499464785472015,0.03217079839585349,0.032478488807706166,0.020952552477642893,0.013519182116538287,0.003551915217330697,0.003344619234930326,0.001098620148951876,0.0006857711033309022,,,,,18,0.7777777777777778,0.5478541568378739,0.9099907189139831,18.0
l7_gated_ratio_vs_product,7,oracle_coords_only,depth7_high_capacity,0.010699860374325264,-0.0015913116118201225,0.020159900844729045,0.00919288235909561,0.007572716101581306,0.3240813448783595,0.32984777271312227,0.028980776583612897,0.03290402816119604,0.01873081029681489,0.01614653003371786,0.0031233935940791894,0.003979200428510341,0.0008717182381118471,0.0006794646323445897,,,,,18,0.8333333333333334,0.6077796189608428,0.9416342319413856,18.0
l7_gated_ratio_vs_product,7,oracle_s_only,baseline,0.016384582599166808,-0.0009349984398555381,0.041076475085821434,0.019045227382035974,0.02562942063024306,0.33342136545200185,0.34620124157201926,0.028697485074959696,0.031254397523403164,0.01873145567327738,0.01600162538867444,0.003211481799953987,0.003003297464488389,0.0011097300584274985,0.0011175205054904309,,,,,18,0.8888888888888888,0.672002348698212,0.9689804773543876,18.0
