task_id,level,task_kind,regime_id,regime_family,seed,n,oracle_mode,model_variant,xgb_config_id,best_iteration,best_score,prauc_oracle,rocauc_oracle,logloss_oracle,ratio_scale_invariance_oracle,product_comp_invariance_oracle,iso_var_ratio_oracle,iso_var_product_oracle,prevalence_train,prevalence_val,prevalence_test,sigma,rho,mixture_json,shift_type,shift_cols_json,dominance_train_mean,dominance_train_median,dominance_train_p90,dominance_test_mean,dominance_test_median,dominance_test_p90,dominance_train_groups_json,dominance_test_groups_json,source_path,prauc_raw,rocauc_raw,logloss_raw,ratio_scale_invariance_raw,product_comp_invariance_raw,iso_var_ratio_raw,iso_var_product_raw,delta_prauc,delta_rocauc,delta_logloss
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,1,30000,oracle_coords_only,oracle,depth4_light,33,0.3938040460648031,0.4287933135378939,0.884782017121152,0.2281808683395367,0.023510538651049136,0.009504863105714322,0.003569414238546229,0.00043498847047752166,0.04911111111111111,0.04683333333333333,0.051666666666666666,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.3974639487036114,0.8770140030613981,0.14508244681841473,0.03237475019628182,0.01434370616946835,0.003679243363884475,0.0007004158472967203,0.0313293648342825,0.007768014059753914,0.08309842152112198
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,1,30000,oracle_s_only,oracle,baseline,19,0.37894218765192483,0.40972235941212387,0.8802313056295707,0.3776912426413086,0.01346734849512577,0.008189395213127136,0.0012468943977148302,0.0003428366292719062,0.04911111111111111,0.04683333333333333,0.051666666666666666,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.4029348814842072,0.8752052270536879,0.14964227665857172,0.029974947700090706,0.01462861810941249,0.005974483415577187,0.000809826755981375,0.006787477927916674,0.005026078575882886,0.22804896598273688
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,1,30000,oracle_coords_only,oracle,baseline,50,0.3809819708462949,0.4279210136329024,0.8830608311128748,0.2110836875977733,0.02571392113417387,0.011587797774374485,0.0028963269197588427,0.0006684049847113683,0.04911111111111111,0.04683333333333333,0.051666666666666666,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.4029348814842072,0.8752052270536879,0.14964227665857172,0.029974947700090706,0.01462861810941249,0.005974483415577187,0.000809826755981375,0.024986132148695217,0.00785560405918695,0.06144141093920158
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,1,30000,oracle_s_only,oracle,depth7_high_capacity,24,0.3758743227501306,0.4124191662999153,0.8815397698282217,0.36896632622986375,0.014357255178689956,0.009334730020165443,0.0016342914777370604,0.0004341514131425399,0.04911111111111111,0.04683333333333333,0.051666666666666666,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.39134683617533633,0.8725744089801009,0.1472710980789432,0.02784927825180348,0.014226892847428098,0.0051695636088743896,0.0006861161108766257,0.021072330124578986,0.008965360848120829,0.22169522815092055
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,1,30000,oracle_coords_only,oracle,depth7_high_capacity,10,0.37474407165445517,0.4056661874353936,0.872985996938602,0.5088764702178907,0.008708346119523048,0.004548235663771629,0.0003681502537673893,7.583223867294697e-05,0.04911111111111111,0.04683333333333333,0.051666666666666666,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.39134683617533633,0.8725744089801009,0.1472710980789432,0.02784927825180348,0.014226892847428098,0.0051695636088743896,0.0006861161108766257,0.01431935126005729,0.00041158795850115837,0.3616053721389475
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,2,30000,oracle_s_only,oracle,depth4_light,72,0.4816544204321507,0.4330442243684915,0.8900894831136901,0.1447761721038033,0.030558327593654393,0.0186954622419551,0.005634834152485774,0.002488618840554571,0.05138888888888889,0.0545,0.04816666666666667,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.43084398590285783,0.8816625355427121,0.20053667229804895,0.026130891735106708,0.014708565288037061,0.0034245870707769184,0.0005014502395424465,0.0022002384656336638,0.00842694757097795,-0.05576050019424564
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,2,30000,oracle_coords_only,oracle,depth4_light,37,0.4737536043916041,0.42038675795241703,0.8833753716345377,0.20820979174935497,0.027569014696031808,0.011944722483307123,0.003310468188547834,0.0006616168345905269,0.05138888888888889,0.0545,0.04816666666666667,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.43084398590285783,0.8816625355427121,0.20053667229804895,0.026130891735106708,0.014708565288037061,0.0034245870707769184,0.0005014502395424465,-0.010457227950440795,0.001712836091825598,0.007673119451306026
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,2,30000,oracle_s_only,oracle,baseline,21,0.4875520168310514,0.4278422907884201,0.8884469296489081,0.3558600526947295,0.01461062589585781,0.009954726946353912,0.0015760596305038471,0.00048464513154883906,0.05138888888888889,0.0545,0.04816666666666667,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.4256234879608014,0.8786137236523458,0.17108933658715075,0.027570859048888088,0.014004399006813764,0.003273580442482306,0.00047374178834881864,0.0022188028276187155,0.009833205996562344,0.18477071610757873
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,2,30000,oracle_coords_only,oracle,baseline,23,0.473264774582513,0.41652423058766735,0.8843244900419818,0.33995573857545525,0.017297724118828774,0.009404044269025327,0.0012303549236155511,0.0003489954189369331,0.05138888888888889,0.0545,0.04816666666666667,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.4256234879608014,0.8786137236523458,0.17108933658715075,0.027570859048888088,0.014004399006813764,0.003273580442482306,0.00047374178834881864,-0.009099257373134051,0.005710766389635968,0.1688664019883045
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,2,30000,oracle_s_only,oracle,depth7_high_capacity,81,0.4763477554165197,0.4250643355199409,0.8894181628484822,0.1716212312840722,0.025895148103684186,0.01606948198452592,0.005000398398534872,0.0009715077415163941,0.05138888888888889,0.0545,0.04816666666666667,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.4188076326521073,0.8794628710816678,0.1358564741004977,0.028818238909123467,0.013991562121827155,0.003864771289427634,0.0005686240788368767,0.006256702867833586,0.009955291766814423,0.0357647571835745
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,2,30000,oracle_coords_only,oracle,depth7_high_capacity,127,0.4717127918296201,0.4259040138738344,0.8845114054768343,0.14132971019527163,0.03167367170266807,0.013001989512518049,0.006060227409181918,0.0006525638164025253,0.05138888888888889,0.0545,0.04816666666666667,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.4188076326521073,0.8794628710816678,0.1358564741004977,0.028818238909123467,0.013991562121827155,0.003864771289427634,0.0005686240788368767,0.007096381221727122,0.005048534395166504,0.005473236094773931
