level,oracle_mode,xgb_config_id,delta_prauc_median,delta_prauc_p10,delta_prauc_p90,delta_prauc_std,delta_prauc_iqr,prauc_raw_median,prauc_oracle_median,ratio_scale_invariance_raw_median,ratio_scale_invariance_oracle_median,product_comp_invariance_raw_median,product_comp_invariance_oracle_median,iso_var_ratio_raw_median,iso_var_ratio_oracle_median,iso_var_product_raw_median,iso_var_product_oracle_median,dominance_train_mean_median,dominance_train_p90_median,dominance_test_mean_median,dominance_test_p90_median,n_runs,delta_prauc_pos_rate_frac_pos,delta_prauc_pos_rate_ci_lo,delta_prauc_pos_rate_ci_hi,delta_prauc_pos_rate_n_eff,delta_prauc_median_loo_task_min,delta_prauc_median_loo_task_max,delta_prauc_median_loo_task_n_loo
4,oracle_coords_only,depth7_high_capacity,0.03235253463031813,0.0002425713293314584,0.2091326529708942,0.15659559066563303,0.11098385608003045,0.11383439570205675,0.23406672166037273,0.0036210308400914074,0.0019758480578660966,0.013317648982177707,0.003173074763268232,3.5646874671796286e-05,1.9423048193537296e-05,0.0011564689972725546,7.565864823588057e-05,,,,,36,0.8888888888888888,0.7468519140963513,0.9559335969968435,36.0,0.01355498511201303,0.10027829853617198,2.0
4,oracle_s_only,baseline,0.05154516596991101,0.008653743627897767,0.19576643650718498,0.1633094809660753,0.11631378164913825,0.1156597287377707,0.24565798797956645,0.0026368930615484716,0.000536183974146843,0.01285234422099602,0.0026047532572411004,2.7459167103021005e-05,2.861253852754182e-06,0.0016172844372629768,3.783830580054664e-05,,,,,36,0.9722222222222222,0.8583028134672614,0.9950795928601897,36.0,0.018205271075188934,0.11246133062892394,2.0
4,oracle_s_only,depth4_light,0.050379173541943725,0.011662919885513892,0.21935841202711692,0.16949841725258896,0.12117169719837104,0.11294307746805927,0.24901283675030922,0.003610317400470376,0.00016686292439699172,0.01373518573293404,0.0020512533684726806,3.0091173861280353e-05,8.140964575749909e-07,0.001357296276503898,1.3365718779386478e-05,,,,,36,1.0,0.9035813714055363,1.0,36.0,0.019831640860308183,0.12327251554656699,2.0
4,oracle_s_only,depth7_high_capacity,0.04045940356749432,0.009691209857025238,0.21332889919031187,0.1561579944791678,0.11997993856022829,0.11383439570205675,0.24528581412581302,0.0036210308400914074,0.0009673932295292617,0.013317648982177707,0.0025443169698468413,3.5646874671796286e-05,6.8734750064319306e-06,0.0011564689972725546,4.760158771599311e-05,,,,,36,1.0,0.9035813714055363,1.0,36.0,0.01920374334942815,0.11868182966717832,2.0
5,oracle_coords_only,baseline,0.04960829578444931,0.004221726769539651,0.39124222545128434,0.13385731807098905,0.028891492179026174,0.37613254923720474,0.45268914966583645,0.012526264842553064,0.004920595774566754,0.006157258638273925,0.0022301774068269878,0.0005711349096803674,0.00016470913502070856,0.0001778213258641231,2.812167384458937e-05,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0,,,1.0
5,oracle_coords_only,depth4_light,0.04593307392495774,0.00674828210398587,0.39427477106058867,0.13575855911723833,0.02471549770243736,0.3812787177049683,0.45827916701690274,0.014402132200123742,0.004261680088448338,0.007357995580811984,0.0017881989893503488,0.000771587975651641,0.0001168905467679418,0.00029922678127905473,1.4014942554502855e-05,,,,,18,1.0,0.8241207763533425,1.0,18.0,,,1.0
5,oracle_coords_only,depth7_high_capacity,0.044295285775506066,0.003987801375272061,0.3572827216328388,0.12486671245307261,0.02800095361185076,0.37810225732896346,0.44391825531596213,0.011373305082321167,0.005475008756062016,0.0056330257054883984,0.0029112018177052962,0.0006227604717380863,0.00012280925801134946,0.0001379228663271513,3.981856440781462e-05,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0,,,1.0
5,oracle_s_only,baseline,0.062121924406114026,0.01777985534190448,0.4153767233530148,0.13977521759216388,0.03852950906699533,0.37613254923720474,0.47676516835796967,0.012526264842553064,0.0023343749234452844,0.006157258638273925,0.0007193363764323294,0.0005711349096803674,2.5915063879770016e-05,0.0001778213258641231,4.718607166535221e-06,,,,,18,1.0,0.8241207763533425,1.0,18.0,,,1.0
5,oracle_s_only,depth4_light,0.06760389243807119,0.019503388952437063,0.43961169106816644,0.14623877717791228,0.04282738230629553,0.3812787177049683,0.4860013762865073,0.014402132200123742,0.0016647738011553882,0.007357995580811984,0.0006113350788597017,0.000771587975651641,1.3798369690874785e-05,0.00029922678127905473,3.2778297532025434e-06,,,,,18,1.0,0.8241207763533425,1.0,18.0,,,1.0
5,oracle_s_only,depth7_high_capacity,0.06275189393031866,0.017549968137278736,0.4198317321795143,0.13958390800580417,0.016643367197531622,0.37810225732896346,0.4731373164703788,0.011373305082321167,0.0029885287215467545,0.0056330257054883984,0.00159284202568233,0.0006227604717380863,3.050561587068329e-05,0.0001379228663271513,1.140789279324339e-05,,,,,18,1.0,0.8241207763533425,1.0,18.0,,,1.0
